;year;name;album;artist;release_date;popularity;danceability;acousticness;energy;valence;loudness;tempo;time_signature;mood
33;1999;My Own Worst Enemy;A Place In The Sun;Lit;1999-02-22;72;494;0.00129;946;741;-2.757;103.408;4;Energetic
34;2005;Better Together;In Between Dreams;Jack Johnson;2005-01-01;72;868;308;347;659;-9.529;110.059;4;Happy
35;2007;To Build A Home;Ma Fleur;The Cinematic Orchestra;2007-05-07;72;264;885;122;0.0735;-15.399;148.658;4;Sad
36;1976;Night Moves;Night Moves;Bob Seger;1976-10-22;71;705;432;743;374;-6.631;118.552;4;Happy
37;1980;Video Killed The Radio Star;The Age Of Plastic;The Buggles;1980-01-10;71;0.68;103;678;251;-11.548;131.165;4;Happy
38;1998;Dragula;Hellbilly Deluxe;Rob Zombie;1998-01-01;70;591;8.74e-05;963;609;-6.489;125.03;4;Energetic
39;2008;Savior;Appeal To Reason;Rise Against;2008-01-01;70;339;0.0015;931;467;-3.425;112.548;4;Energetic
40;1990;What I Like About You;What I Like About You (And Other Romantic Hits);The Romantics;1990;68;542;319;915;0.92;-9.637;159.81;4;Happy
41;1994;Lovely Day;Lean on Me: The Best of Bill Withers;Bill Withers;1994-08-09;67;693;194;565;692;-12.583;97.937;4;Happy
42;2016;No Woman;Light Upon the Lake;Whitney;2016-06-03;66;581;893;0.4;433;-8.739;112.331;4;Sad
43;2015;Should Have Known Better;Carrie & Lowell;Sufjan Stevens;2015-03-31;65;571;979;172;297;-20.7;90.972;4;Sad
44;1984;Let's Go Crazy;Purple Rain;Prince;1984-06-25;63;309;0.0192;0.93;376;-6.399;195.815;4;Happy
45;2002;Always;Back Into Your System;Saliva;2002-11-12;63;363;0.0122;906;371;-4.415;181.964;4;Energetic
46;1983;Talking In Your Sleep;In Heat;The Romantics;1983-02-14;61;0.72;0.0289;967;977;-4.434;129.766;4;Happy
47;2010;Stupify;The Sickness (10th Anniversary Edition);Disturbed;2010-03-12;61;597;0.00108;939;422;-3.001;98;4;Energetic
48;1975;Why Can't We Be Friends?;Why Can't We Be Friends?;War;1975-01-01;58;776;0.19;714;962;-9.044;92.448;4;Happy
49;1987;Dance Little Sister;Introducing The Hardline According To Terence Trent D'Arby;Terence Trent D'Arby;1987-07-06;53;722;161;696;0.93;-11.095;115.397;4;Happy
50;1966;California Dreamin';If You Can Believe Your Eyes And Ears;The Mamas & The Papas;1966-03;50;554;628;667;597;-10.226;112.749;4;Happy
51;1995;Wonderwall;(What's the Story) Morning Glory?;Oasis;1995-10-02;15;412;0.00214;844;459;-5.613;174.452;4;Happy
52;1997;Tubthumping;Tubthumper;Chumbawamba;1997;0;319;118;881;625;-7.244;206.941;4;Happy
